"lon","lat","Number","Water.Depth","Latitude","Longitude","Region","Abundance","Species","Genus","Total","ER","a488","bb488","Zeu","PAR","Tvis","a488_buffer","bb488_buffer","Zeu_buffer","PAR_buffer","Tvis_buffer","Tvis_PAR"
-1591553.7618351,1565654.45201481,184,1,69.66,-134.53,"Beaufort",0,0,0,210,"0",0.176900058686442,0.0399550031233957,4.0950034847483,25.2159980866127,0.650614738805366,0.176900058686442,0.0399550031233957,4.0950034847483,25.2159980866127,0.650614738805366,16.4059000088381
-1111799.28291365,1834714.63436413,223,1.5,70.44,-148.785,"Beaufort",0,0,0,60,"0",0.225200057466282,0.0318750033275137,6.01000344194472,20.9999978863634,0.519080577098489,0.225200057466282,0.0318750033275137,6.01000344194472,20.9999978863634,0.519080577098489,10.9006910219206
-1013927.6444011,1887011.11127616,307,2.3,70.468,-151.75,"Beaufort",0,0,0,68,"0",0.438200052085449,0.0455150029829383,3.2350035039708,21.5319979116321,0.241163679567093,0.438200052085449,0.0455150029829383,3.2350035039708,21.5319979116321,0.241163679567093,5.19273584480015
685003.632806865,2006348.72616938,915,7,70.66583,161.14917,"Siberian",0,0,0,73,"0",0.295800055682776,0.0294250033894059,6.52000343054533,22.2579979461152,0.0535148376984925,0.295800055682776,0.0294250033894059,6.52000343054533,22.2579979461152,0.0535148376984925,1.19113314757973
-1064657.05472684,1844040.11142353,177,8.5,70.583,-150,"Beaufort",0,0,0,73,"0",0.196200058198883,0.0268950034533191,7.83000340126455,18.1479977509007,0.0578965947930409,0.196200058198883,0.0268950034533191,7.83000340126455,18.1479977509007,0.0578965947930409,1.05070727208891
1843042.78917396,-587008.873232254,891,11,72.33333,72.33333,"Kara",0,0,0,82,"0",NA,NA,NA,NA,NA,0.752326401417901,0.022400226859336,4.51728381003764,18.8833012782015,0.00127075505699838,0.0239960505920985
1504702.56890931,1268424.3405803,594,14,72.03,130.13,"Laptev",0,0,0,54,"0",0.220200057592592,0.00680500396083517,4.94000346586108,19.6139978205319,0.0248708052180017,0.220200057592592,0.00680500396083517,4.94000346586108,19.6139978205319,0.0248708052180017,0.487815919340759
-1016956.44137032,1818883.78701213,331,14,70.99,-150.79,"Beaufort",0,0,0,326,"0",0.0947000607629889,0.0114550038433663,20.7350031128153,13.9299975505564,0.0749948636949155,0.0947000607629889,0.0114550038433663,20.7350031128153,13.9299975505564,0.0749948636949155,1.04467826757449
-867298.156025939,2738307.34164243,274,18,64.001111,-162.425556,"Chukchi",0,0,0,61,"0",0.266800056415377,0.0120750038277038,15.1400032378733,29.6919982992113,0.00412405947709781,0.266800056415377,0.0120750038277038,15.1400032378733,29.6919982992113,0.00412405947709781,0.122451566979834
1402798.59991698,874841.829950613,909,18,74.86917,121.94933,"Laptev",0,0,0,64,"0",0.164800058992114,0.00865000391422655,17.910003175959,23.3079979959875,0.0171734468383251,0.164800058992114,0.00865000391422655,17.910003175959,23.3079979959875,0.0171734468383251,0.400278664491881
-867602.014151211,2738344.19554155,245,18,64,-162.42,"Chukchi",0,0,0,255,"0",0.272500056271383,0.012795003809515,14.7850032458082,29.5899982943665,0.0036966262025914,0.272500056271383,0.012795003809515,14.7850032458082,29.5899982943665,0.0036966262025914,0.10938316302959
-719839.077223281,2780608.1324574,257,20,64.002,-165.486,"Chukchi",0,0,0,53,"0",0.175300058726862,0.0162250037228659,15.2400032356381,24.6559980600141,0.00559013670183398,0.175300058726862,0.0162250037228659,15.2400032356381,24.6559980600141,0.00559013670183398,0.137830399675632
575582.446102414,2112544.24510359,916,20,70.04417,164.75917,"Siberian",0,0,0,72,"0",0.204600057986681,0.0132900037970103,15.2200032360852,21.7859979236964,0.0046955844125472,0.204600057986681,0.0132900037970103,15.2200032360852,21.7859979236964,0.0046955844125472,0.102297992262294
-1036738.7822795,1817965.18547002,311,24.5,70.91,-150.305,"Beaufort",0,0,0,61,"0",0.0851000610055053,0.00948000389325898,24.9600030183792,14.2659975665156,0.0207673192325605,0.0851000610055053,0.00948000389325898,24.9600030183792,14.2659975665156,0.0207673192325605,0.29626652563476
-714939.102218642,2817965.34818141,256,25,63.696,-165.764,"Chukchi",0,0,0,77,"0",0.134200059765135,0.0108650038582709,21.1200031042099,25.5979981047567,0.00602820402830217,0.134200059765135,0.0108650038582709,21.1200031042099,25.5979981047567,0.00602820402830217,0.154309955291566
-702083.635413317,2834866.50369331,1340,27,63.58,-166.09,"Chukchi",0,0,0,61,"0",0.109200060396688,0.00781500393532042,27.0850029708818,25.3099980910774,0.00977643651434429,0.109200060396688,0.00781500393532042,27.0850029708818,25.3099980910774,0.00977643651434429,0.247441589515594
