"lon","lat","Number","Water.Depth","Latitude","Longitude","Region","Abundance","Species","Genus","Total","ER","a488","bb488","Zeu","PAR","Tvis","a488_buffer","bb488_buffer","Zeu_buffer","PAR_buffer","Tvis_buffer","Tvis_PAR"
-1000597.13728305,1878684.26553493,225,1.8,70.59,-151.96,"Beaufort",0.017857143,0.4,0.4,168,"0.25-0.5",0.34370005447272,0.0387150031547208,4.69000347144902,21.1099978915881,0.375655598433952,0.34370005447272,0.0387150031547208,4.69000347144902,21.1099978915881,0.375655598433952,7.93008889090401
-1571941.09456078,1632347.66924022,196,2,69.36,-136.08,"Beaufort",0.327868852,0.2,0.2,61,"0-0.25",NA,NA,3.20000350475311,25.2959980904125,NA,0.251322435447152,0.022259889492742,3.20000350475311,25.2959980904125,0.43355613552747,10.9672351763895
690244.639416202,-2124354.56335471,659,2,69.65,18,"Barents",0.29143898,0.294117647,0.230769231,549,"0.25-0.5",0.0952000607503578,0.00489500400908582,26.6250029811636,27.9039982142858,0.641857398542351,0.0952000607503578,0.00489500400908582,26.6250029811636,27.9039982142858,0.641857398542351,17.9103877027519
-1113559.97001588,1833646.53851702,228,2,70.44,-148.73,"Beaufort",0.392857143,0.2,0.2,56,"0-0.25",0.222200057542068,0.031130003346334,6.80500342417508,21.0779978900682,0.430876173521749,0.222200057542068,0.031130003346334,6.80500342417508,21.0779978900682,0.430876173521749,9.0820070763721
-1013927.6444011,1887011.11127616,307,2.3,70.468,-151.75,"Beaufort",0,0,0,68,"0",0.438200052085449,0.0455150029829383,3.2350035039708,21.5319979116321,0.241163679567093,0.438200052085449,0.0455150029829383,3.2350035039708,21.5319979116321,0.241163679567093,5.19273584480015
-1214300.49745925,1806388.66568397,314,2.5,70.16,-146.09,"Beaufort",0.176767677,0.25,0.272727273,396,"0.25-0.5",0.190900058332772,0.0324150033138721,6.60500342864543,22.5099979580846,0.37705288811992,0.190900058332772,0.0324150033138721,6.60500342864543,22.5099979580846,0.37705288811992,8.48745974166929
-929056.537972396,1874035.41315178,33,2.6,70.92,-153.63,"Beaufort",0.242105263,0.125,0.111111111,95,"0-0.25",0.176500058696547,0.0263600034668343,8.42000338807702,19.4419978123624,0.394872223906686,0.176500058696547,0.0263600034668343,8.42000338807702,19.4419978123624,0.394872223906686,7.67710491335647
-1548558.08412927,1665280.87342334,195,3,69.29,-137.08,"Beaufort",0.360655738,0.25,0.25,61,"0.25-0.5",0.372600053742644,0.0290750033982476,4.86500346753746,26.9859981706832,0.2181363154496,0.372600053742644,0.0290750033982476,4.86500346753746,26.9859981706832,0.2181363154496,5.88662620968246
-1557625.10314053,1605661.28858272,183,3,69.62,-135.87,"Beaufort",0.05,0.166666667,0.166666667,120,"0-0.25",0.246100056938303,0.0440300030204526,3.85000349022448,25.7239981107414,0.247970150903025,0.246100056938303,0.0440300030204526,3.85000349022448,25.7239981107414,0.247970150903025,6.37878369334968
-1647311.89907577,1486894.52901987,188,3,69.78,-132.07,"Beaufort",0.011532125,0.142857143,0.125,607,"0-0.25",0.275000056208228,0.0355650032342965,5.70000344887376,26.8059981621336,0.251956239825497,0.275000056208228,0.0355650032342965,5.70000344887376,26.8059981621336,0.251956239825497,6.75393850170038
-1203284.32738528,1809717.68086501,315,3,70.19,-146.38,"Beaufort",0.5,0.285714286,0.333333333,468,"0.25-0.5",0.196800058183726,0.0272300034448563,7.50000340864062,22.1679979418404,0.327573912051908,0.196800058183726,0.0272300034448563,7.50000340864062,22.1679979418404,0.327573912051908,7.26165780816733
-1164600.41326787,1830875.87705328,320,3,70.22,-147.54,"Beaufort",0.218181818,0.125,0.142857143,110,"0-0.25",0.204700057984155,0.0274450034394249,8.24500339198858,22.7079979674891,0.320622684393073,0.204700057984155,0.0274450034394249,8.24500339198858,22.7079979674891,0.320622684393073,7.28069926552879
-1047134.87380068,1849298.13975012,325,3,70.62,-150.48,"Beaufort",0.075376884,0.2,0.230769231,199,"0-0.25",0.187900058408559,0.0257500034822442,8.57000338472426,17.0759976999834,0.339698587076422,0.187900058408559,0.0257500034822442,8.57000338472426,17.0759976999834,0.339698587076422,5.8006922916046
-982739.199638217,1874226.08440726,333,3.2,70.7,-152.33,"Beaufort",0.295043273,0.25,0.25,1271,"0.25-0.5",0.123200060043018,0.0231650035475468,4.38000347837806,19.9659978372511,0.393148425208391,0.123200060043018,0.0231650035475468,4.38000347837806,19.9659978372511,0.393148425208391,7.8496006074294
-1149107.85514398,1820310.41027902,219,3.5,70.374,-147.737,"Beaufort",0.120879121,0.2,0.230769231,91,"0-0.25",0.164600058997166,0.0252950034937385,9.39000336639583,21.929997930536,0.311543862837204,0.164600058997166,0.0252950034937385,9.39000336639583,21.929997930536,0.311543862837204,6.83215626729109
-1394536.90244346,1744157.41884518,366,4,69.655,-141.356,"Beaufort",0.034550839,0.125,0.142857143,1013,"0-0.25",0.208500057888159,0.0342750032668846,12.8050032900646,25.7259981108364,0.206876233441736,0.208500057888159,0.0342750032668846,12.8050032900646,25.7259981108364,0.206876233441736,5.32209759069905
-1396748.74003916,1742243.08613174,365,4,69.656,-141.281,"Beaufort",0.022328549,0.25,0.25,627,"0.25-0.5",0.212000057799742,0.0339300032756,11.1250033276156,26.0299981252756,0.205575986698214,0.212000057799742,0.0339300032756,11.1250033276156,26.0299981252756,0.205575986698214,5.35114254835618
-1198689.01181795,1811021.54525403,232,4,70.203,-146.5,"Beaufort",0.207986689,0.25,0.266666667,601,"0.25-0.5",0.184700058489398,0.027605003435383,7.12000341713428,21.9839979331009,0.243694057773656,0.184700058489398,0.027605003435383,7.12000341713428,21.9839979331009,0.243694057773656,5.35736966240502
-1111120.78556587,1832512.37836581,214,4,70.46,-148.77,"Beaufort",0.233082707,0.25,0.25,133,"0.25-0.5",0.191500058317615,0.0280350034245203,7.93500339891762,20.9779978853185,0.237056799786646,0.191500058317615,0.0280350034245203,7.93500339891762,20.9779978853185,0.237056799786646,4.97297704462462
-1198114.25653071,1821182.63612886,316,4.5,70.13,-146.66,"Beaufort",0.211111111,0.363636364,0.363636364,270,"0.25-0.5",0.186300058448978,0.0271550034467509,9.56500336248428,21.9939979335759,0.20820736326921,0.186300058448978,0.0271550034467509,9.56500336248428,21.9939979335759,0.20820736326921,4.57931231749828
-829228.931963432,1870380.05630579,35,4.5,71.33,-156.09,"Beaufort",0.571428571,0.333333333,0.333333333,21,"0.25-0.5",0.242000057041878,0.0332750032921467,6.23000343702734,20.6479978696443,0.156907825478627,0.242000057041878,0.0332750032921467,6.23000343702734,20.6479978696443,0.156907825478627,3.23983244621321
-1394262.8644506,1741507.73537649,357,5,69.675,-141.319,"Beaufort",0.090909091,0.142857143,0.142857143,165,"0-0.25",0.156100059211894,0.0255450034874229,12.7950032902882,26.1979981332552,0.206783617393321,0.156100059211894,0.0255450034874229,12.7950032902882,26.1979981332552,0.206783617393321,5.41731682245799
-1176591.61581741,1813870.74015316,318,5,70.29,-147.03,"Beaufort",0.120987654,0.25,0.266666667,405,"0.25-0.5",0.169100058883487,0.0241450035227899,10.4350033430383,21.8379979261663,0.200666557631679,0.169100058883487,0.0241450035227899,10.4350033430383,21.8379979261663,0.200666557631679,4.38215586941152
-1083504.44636112,1836272.8147502,217,5,70.558,-149.457,"Beaufort",0.276515152,0.166666667,0.166666667,264,"0-0.25",0.178400058648549,0.0254250034904544,8.95500337611884,18.9199977875687,0.189134928292928,0.178400058648549,0.0254250034904544,8.95500337611884,18.9199977875687,0.189134928292928,3.57843242485417
-1186328.67208935,1828881.69317157,317,5.5,70.13,-147.03,"Beaufort",0.186567164,0.25,0.285714286,134,"0.25-0.5",0.22120005756733,0.0265150034629187,9.52500336337835,22.5339979592245,0.133446046081679,0.22120005756733,0.0265150034629187,9.52500336337835,22.5339979592245,0.133446046081679,3.00707293007114
-1158298.96154622,1822162.95219352,220,5.8,70.316,-147.557,"Beaufort",0.120481928,0.416666667,0.3,166,"0.25-0.5",0.167800058916328,0.0248250035056117,9.97000335343182,21.9739979326259,0.158324036118625,0.167800058916328,0.0248250035056117,9.97000335343182,21.9739979326259,0.158324036118625,3.47901204235567
-1083615.21467593,1835948.01226693,215,5.8,70.56,-149.45,"Beaufort",0.325301205,0.142857143,0.142857143,166,"0-0.25",0.178400058648549,0.0254250034904544,8.95500337611884,18.9199977875687,0.148987782910421,0.178400058648549,0.0254250034904544,8.95500337611884,18.9199977875687,0.148987782910421,2.81884852303993
-2337380.69413202,-2215766.64498693,339,6,60.97,-46.53,"Baffin",0.669421488,0.6,0.5,121,"0.5-0.75",0.0516000618517864,0.00380500403662154,NA,31.0839983653277,0.453684651372241,0.0516000618517864,0.00380500403662154,38.4606908409216,31.0839983653277,0.453684651372241,14.102332961629
703211.312773016,-2081135.85145566,673,6,69.98,18.67,"Barents",0.296089385,0.461538462,0.444444444,716,"0.25-0.5",0.0715000613490702,0.00372500403864251,20.7600031122565,27.3619981885422,0.394415941234178,0.0715000613490702,0.00372500403864251,20.7600031122565,27.3619981885422,0.394415941234178,10.7920082695818
-1630375.91453358,1470575.34490679,189,6,69.99,-132.05,"Beaufort",0.351648352,0.166666667,0.166666667,91,"0-0.25",0.18900005838077,0.0224500035656092,10.740003336221,27.6699982031714,0.142155987965381,0.18900005838077,0.0224500035656092,10.740003336221,27.6699982031714,0.142155987965381,3.93345593157216
-1183384.73320791,1811850.35592494,306,6,70.272,-146.85,"Beaufort",0.008695652,0.111111111,0.166666667,230,"0-0.25",0.165900058964326,0.0241550035225373,10.6050033392385,21.9139979297761,0.152986158519591,0.165900058964326,0.0241550035225373,10.6050033392385,21.9139979297761,0.152986158519591,3.35253836108271
-1145668.85665314,1825644.74366212,321,6,70.35,-147.89,"Beaufort",0.549019608,0.166666667,0.142857143,51,"0-0.25",0.179200058628339,0.0288750034033001,8.20500339288265,21.8039979245514,0.130259994984301,0.179200058628339,0.0288750034033001,8.20500339288265,21.8039979245514,0.130259994984301,2.84018866028978
-1151274.38694649,1820924.89861595,230,6,70.359,-147.697,"Beaufort",0.464285714,0.142857143,0.142857143,56,"0-0.25",0.164600058997166,0.0252950034937385,9.39000336639583,21.929997930536,0.150362259092829,0.164600058997166,0.0252950034937385,9.39000336639583,21.929997930536,0.150362259092829,3.29744403073647
-1110541.41749809,1831556.85744528,213,6,70.47,-148.77,"Beaufort",0.181818182,0.125,0.111111111,33,"0-0.25",0.191500058317615,0.0280350034245203,7.93500339891762,20.9779978853185,0.125205989866083,0.191500058317615,0.0280350034245203,7.93500339891762,20.9779978853185,0.125205989866083,2.6265709906399
-1165417.48232039,1822662.94138047,222,6.2,70.278,-147.405,"Beaufort",0.063829787,0.2,0.2,47,"0-0.25",0.172000058810227,0.0254250034904544,9.64500336069614,22.3079979484901,0.136548719268999,0.172000058810227,0.0254250034904544,9.64500336069614,22.3079979484901,0.136548719268999,3.04612854932178
-1160987.43218185,1822174.67646581,221,6.5,70.303,-147.497,"Beaufort",0.181818182,0.333333333,0.357142857,132,"0.25-0.5",0.167100058934011,0.0244700035145797,10.1900033485144,21.961997932056,0.131153555672471,0.167100058934011,0.0244700035145797,10.1900033485144,21.961997932056,0.131153555672471,2.8803941184606
-689678.016324152,2047020.06766379,382,6.7,70.30769,-161.3804,"Chukchi",0.032679739,0.111111111,0.111111111,153,"0-0.25",0.164200059007271,0.0175700036888884,14.6500032488257,24.9199980725534,0.147874307360982,0.164200059007271,0.0175700036888884,14.6500032488257,24.9199980725534,0.147874307360982,3.68502745441585
-1631686.28575113,1505676.76866923,238,7,69.77,-132.7,"Beaufort",0.003333333,0.25,0.25,300,"0.25-0.5",0.239200057112612,0.0335400032854523,5.78500344697386,27.1659981792327,0.0629651598917354,0.239200057112612,0.0335400032854523,5.78500344697386,27.1659981792327,0.0629651598917354,1.71051141897398
-1336125.44276139,1742405.71084382,358,7,69.989,-142.518,"Beaufort",0.26744186,0.111111111,0.125,86,"0-0.25",0.128900059899024,0.0197100036348274,19.4200031422079,23.7019980147015,0.159625003211521,0.128900059899024,0.0197100036348274,19.4200031422079,23.7019980147015,0.159625003211521,3.78343150921619
-1166728.03273735,1821558.76578877,319,7,70.28,-147.36,"Beaufort",0.058461538,0.375,0.428571429,325,"0.25-0.5",0.172000058810227,0.0254250034904544,9.64500336069614,22.3079979484901,0.108336848526082,0.172000058810227,0.0254250034904544,9.64500336069614,22.3079979484901,0.108336848526082,2.41677819466573
